,Product Name,Product Description,Product Price
0,Men's Pace Tights - Black,"Designed to fit like a second skin, the Pace Tights are crafted with mesh panels behind the knee, reflective trims and and internal drawstring fastening for an adjustable fit.",£37.99
1,Men's Pace Tights - Iron Grey,"Designed to fit like a second skin, the Pace Tights are crafted with mesh panels behind the knee, reflective trims and and internal drawstring fastening for an adjustable fit.",£37.99
2,Men's Pace Shorts - Black,"Lightweight and ventilated design is teamed with an elasticated waistband and an internal drawstring fastening to ensure a secure fit, complete with reflective trims for night runs.",£34.99
3,Men's Pace Shorts - Pine Green,"Lightweight and ventilated design is teamed with an elasticated waistband and an internal drawstring fastening to ensure a secure fit, complete with reflective trims for night runs.",£34.99
4,Men's Pace Shorts - Lunar Grey,"Lightweight and ventilated design is teamed with an elasticated waistband and an internal drawstring fastening to ensure a secure fit, complete with reflective trims for night runs.",£34.99
5,Men's Lite Jacket - Black,"This waterproof and breathable jacket is crafted with 2.5-layer fabric and inner taped seams, finished with reflective details for enhanced visibility during night runs.",£39.99
6,Men's Lite Jacket - White,"This waterproof and breathable jacket is crafted with 2.5-layer fabric and inner taped seams, finished with reflective details for enhanced visibility during night runs.",£39.99
7,Men's Elevate Short - Black,"Double layer running shorts with an outer woven layer over the inner shorts to give you coverage and comfort whilst minimising friction, augmented with reflective trims for increased visibility.",£34.99
8,Men's Elevate Shorts - Pine Green,"Double layer running shorts with an outer woven layer over the inner shorts to give you coverage and comfort whilst minimising friction, augmented with reflective trims for increased visibility.",£34.99
9,Men's Elevate Shorts - Grey,"Double layer running shorts with an outer woven layer over the inner shorts to give you coverage and comfort whilst minimising friction, augmented with reflective trims for increased visibility.",£34.99
10,Women's Bike Shorts - Black,"Made in a soft, stretchy and sweat-wicking fabric for a faster, more comfortable ride; complete with an elasticated shape-enhancing waistband for the perfect fit.",£27.99
11,Women's Bike Shorts - Pine Green,"Made in a soft, stretchy and sweat-wicking fabric for a faster, more comfortable ride; complete with an elasticated shape-enhancing waistband for the perfect fit.",£27.99
12,Women's Elevate Shorts - Black,"The layered design is finished with ventilation slits to the sides to offer comfort and modesty, whilst preventing friction and chafing – ideal for all levels and disciplines of running.",£32.99
13,Women's Elevate Shorts - Pine Green,"The layered design is finished with ventilation slits to the sides to offer comfort and modesty, whilst preventing friction and chafing – ideal for all levels and disciplines of running.",£32.99
14,Women's Elevate Shorts - Lunar Grey,"The layered design is finished with ventilation slits to the sides to offer comfort and modesty, whilst preventing friction and chafing – ideal for all levels and disciplines of running.",£32.99
15,Women's Ergo Full Length Leggings - Black,"Crafted in a stretchy fabric, finished with a flattering high-rise waistband that secures and sculpts your core, allowing you to move without restriction.",£36.99
16,Women's Ergo Full Length Leggings - Pine Green,"Crafted in a stretchy fabric, finished with a flattering high-rise waistband that secures and sculpts your core, allowing you to move without restriction.",£36.99
17,Women's Ergo 7/8 Leggings - Black,"Constructed with a stretchy fabric that allows for maximum movement, the Ergo 7/8 Leggings accentuates the flattering ankle area whilst hugging your body in all the right places.",£34.99
18,Women's Ergo 7/8 Leggings - Pine Green,"Constructed with a stretchy fabric that allows for maximum movement, the Ergo 7/8 Leggings accentuates the flattering ankle area whilst hugging your body in all the right places.",£34.99
19,Women's Flow Crop T-Shirt - Black,"A relaxed fit paired with a tied open back design to give your body plenty of room to breathe, whilst wide-cut sleeves allow total freedom of movement.",£29.99
20,Women's Flow Crop T-Shirt - White,"A relaxed fit paired with a tied open back design to give your body plenty of room to breathe, whilst wide-cut sleeves allow total freedom of movement.",£29.99
21,Women's Flow Vest - Black,"A flattering relaxed fit, a high-neck racer front and back, tailored slits at the hem and dropped armholes – all beautifully crafted for maximum movement.",£24.99
22,Women's Flow Vest - White,"A flattering relaxed fit, a high-neck racer front and back, tailored slits at the hem and dropped armholes – all beautifully crafted for maximum movement.",£24.99
23,Women's Merino Base Layer - Black,"Made with 95% Merino wool, this base layer offers soft and light insulation along with natural anti-odour and sweat-wicking performance to keep you fresh and dry whatever the workout.",£36.99
24,Women's Merino Base Layer - Pine Green,"Made with 95% Merino wool, this base layer offers soft and light insulation along with natural anti-odour and sweat-wicking performance to keep you fresh and dry whatever the workout.",£36.99
25,Women's Lite Jacket - Black,"This waterproof and breathable jacket is crafted with 2.5-layer fabric and inner taped seams, finished with reflective details for enhanced visibility during night runs.",£39.99
26,Women's Lite Jacket - White,"This waterproof and breathable jacket is crafted with 2.5-layer fabric and inner taped seams, finished with reflective details for enhanced visibility during night runs.",£39.99
